"Abraham Bradley, Jr.",Hannah Smith
"Alexander, Crown Prince of Yugoslavia",Katherine Clairy Batis
"Alexander, Prince of Bulgaria",Johanna Loisinger
"Alexander, Prince of Erbach-Schönberg",Princess Elisabeth of Waldeck and Pyrmont
"Alexander, Prince of Schaumburg-Lippe",Nadja Anna Zsoeks
"Alexandra, Countess of Frederiksborg","(m. 1995, div. 2005)"
"Alexandra, Countess of Frederiksborg",(m. 2007)
"Alexandra, Countess of Frederiksborg",Prince Joachim of Denmark
"Alexandra, Princess of Leiningen","Andreas, 8th Prince of Leiningen"
"Alexis, Prince of Bentheim and Steinfurt",Princess Pauline of Waldeck and Pyrmont
"Alfonso I d'Este, Duke of Ferrara",Anna Sforza
"Alfonso I d'Este, Duke of Ferrara",Lucrezia Borgia
"Alfonso II d'Este, Duke of Ferrara",Barbara of Austria
"Alfonso II d'Este, Duke of Ferrara",Lucrezia di Cosimo de' Medici
"Alfonso II d'Este, Duke of Ferrara",Margherita Gonzaga
"Alfonso II d'Este, Duke of Ferrara",Margherita Gonzaga d'Este
"Alfonso II, Count of Provence",Garsenda of Forcalquier
"Alfonso II, Count of Provence",Gersenda II of Sabran
"Alfonso III d'Este, Duke of Modena",Isabella of Savoy
"Alfonso III d'Este, Duke of Modena",Princess Isabella of Savoy
"Alfonso IV d'Este, Duke of Modena",Laura Martinozzi
"Alfonso, Prince of Asturias (1907–1938)","(m.1933, div.1937)"
"Alfonso, Prince of Asturias (1907–1938)","(m.1937, div.1938)"
"Alfonso, Prince of Asturias (1907–1938)",Edelmira Sampedro y Robato
"Alfonso, Prince of Asturias (1907–1938)",Marta Ester Rocafort-Altazarra
"Alfred C. Carr, Jr.",Barrie L. Carr
"Alfred Emmott, 1st Baron Emmott",Mary Lees
"Alfred Lawson, Jr.",Delores Brooks
"Alfred Milner, 1st Viscount Milner","Violet Milner, Viscountess Milner"
"Alfred Milner, 1st Viscount Milner",Violet Milner
"Alfred Mond, 1st Baron Melchett","Violet Mond, Baroness Melchett"
"Alfred Mond, 1st Baron Melchett",(d. 1945)
"Alfred Mond, 1st Baron Melchett",Violet Goetze
"Alfred, Duke of Saxe-Coburg and Gotha",Grand Duchess Maria Alexandrovna of Russia
"Algernon Percy, 10th Earl of Northumberland",Lady Anne Cecil
"Algernon Percy, 10th Earl of Northumberland",Lady Elizabeth Howard
"Algernon Percy, 4th Duke of Northumberland",(d. 1911)
"Algernon Percy, 4th Duke of Northumberland",Lady Eleanor Grosvenor
"Algernon Percy, 6th Duke of Northumberland",(d. 1890)
"Algernon Percy, 6th Duke of Northumberland",Louisa Drummond
"Alianore Holland, Countess of March","Edward Charleton, 5th Baron Cherleton"
"Alianore Holland, Countess of March","Roger Mortimer, 4th Earl of March"
"Alice Comyn, Countess of Buchan",Earl of Buchan
"Alice Comyn, Countess of Buchan",Henry de Beaumont
"Alice Holland, Countess of Kent","Thomas Holland, 2nd Earl of Kent"
"Alice Neville, 5th Countess of Salisbury","Richard Neville, 5th Earl of Salisbury"
"Alice Plantagenet, 4th Countess of Lincoln","Eubulus le Strange, 1st Baron Strange"
"Alice Plantagenet, 4th Countess of Lincoln","Hugh de Freyne, Baron Freyne"
"Alice Plantagenet, 4th Countess of Lincoln","Thomas Plantagenet, 2nd Earl of Lancaster"
"Alice Plantagenet, 4th Countess of Lincoln",m. 1294; div. c. 1318
"Alice Plantagenet, 4th Countess of Lincoln",m. bef. 1324; dec. 1335
"Alice Plantagenet, 4th Countess of Lincoln",m. bef. 1336; dec. c. 1336
"Alice de Lusignan, Countess of Surrey","John de Warenne, 7th Earl of Surrey"
"Alice de Toeni, Countess of Warwick","Guy de Beauchamp, 10th Earl of Warwick"
"Alice de Toeni, Countess of Warwick","William la Zouche de Mortimer, 1st Lord Zouche de Mortimer"
"Alice de Toeni, Countess of Warwick",Sir Thomas Leybourne
"Alice de Warenne, Countess of Arundel","Edmund Fitzalan, 9th Earl of Arundel"
"Alice of Saluzzo, Countess of Arundel","Richard Fitzalan, 8th Earl of Arundel"
"Alix, Duchess of Brittany","Peter I, Duke of Brittany"
"Alix, Duchess of Brittany",Peter of Dreux
"Alix, Princess of Ligne","Antoine, 13th Prince of Ligne"
"Allen ""Puddler"" Harris",Marsette B. Harris
"Alois Hitler, Jr.",Bridget Dowling
"Alois Hitler, Jr.",Hedwig Heidemann
"Alois, Hereditary Prince of Liechtenstein","Sophie, Hereditary Princess of Liechtenstein"
"Alois, Hereditary Prince of Liechtenstein",Duchess Sophie in Bavaria
"Alois-Konstantin, 9th Prince of Löwenstein-Wertheim-Rosenberg",Princess Anastasia of Prussia
"Aloys II, Prince of Liechtenstein",Countess Franziska Kinsky of Wchinitz and Tettau
"Aloys, 7th Prince of Löwenstein-Wertheim-Rosenberg",Countess Josephine Kinsky of Wchinitz and Tettau
"Amalie von Wallmoden, Countess of Yarmouth",1727
"Amalie von Wallmoden, Countess of Yarmouth",1739
"Amalie von Wallmoden, Countess of Yarmouth",Gottlieb Adam von Wallmoden
"Amelia Cary, Viscountess Falkland","Lucius Cary, 10th Viscount Falkland"
"Anastasia de Montfort, Countess of Nola","Romano Orsini, Senator of Rome"
"Anastasia, Margravine of Meissen","Maria Emanuel, Margrave of Meissen"
"Andal Ampatuan, Jr.",Bai Zandria S. Ampatuan
"Andreas, 8th Prince of Leiningen","Alexandra, Princess of Leiningen"
"Andreas, 8th Prince of Leiningen",Princess Alexandra of Hanover
"Andreas, Prince of Saxe-Coburg and Gotha",Carin Dabelstein
"Andrew Davidson, 2nd Viscount Davidson","Margaret Colville, Viscountess Colville of Culross"
"Andrew Davidson, 2nd Viscount Davidson",(1)
"Andrew Davidson, 2nd Viscount Davidson",(2) Pamela Vergette
"Andrew Davidson, 2nd Viscount Davidson",Margaret Norton
"Andrew Jacobs, Jr.",", (2)"
"Andrew Jacobs, Jr.",(1)
"Andrew Jacobs, Jr.",Kimberly Hood Jacobs
"Andrew Jacobs, Jr.",Martha Keys
"Andrew L. Lewis, Jr.",Marilyn Stoughton
"Andrew Murray, 1st Viscount Dunedin",(1) Mary Edmonstone
"Andrew Murray, 1st Viscount Dunedin",(1857-1922)
"Andrew Murray, 1st Viscount Dunedin",(2) Jean Findlay
"Andrew Russell, 15th Duke of Bedford",Louise Rona Crammond
"Andrés Hurtado de Mendoza, 3rd Marquis of Cañete","Magdalena de Manrique, Countess of Osorno"
"Andrés Hurtado de Mendoza, 3rd Marquis of Cañete",Magdalena de Manrique
"Ann Paton, Lady Paton",James Paton
"Anna of Trebizond, Queen of Georgia",Bagrat V of Georgia
"Anna of Trebizond, Queen of Georgia",King
"Annabel Astor, Viscountess Astor","Reginald Sheffield, 8th Baronet"
"Annabel Astor, Viscountess Astor","William Astor, 4th Viscount Astor"
"Anne Bourchier, 7th Baroness Bourchier","William Parr, 1st Marquess of Northampton"
"Anne Bourchier, Baroness Dacre","Thomas Fiennes, 8th Baron Dacre"
"Anne Bourchier, Baroness Dacre",Sir
"Anne Brandon, Baroness Grey of Powis","Edward Grey, 3rd Baron Grey of Powys"
"Anne Brandon, Baroness Grey of Powis",Randal Haworth
"Anne Bray, Baroness Cobham","George Brooke, 9th Baron Cobham"
"Anne Butler, Countess of Ormond","James Butler, 3rd Earl of Ormond"
"Anne Carr, Countess of Bedford","William Russell, 1st Duke of Bedford"
"Anne Hamilton, Countess of Huntly","George Gordon, 5th Earl of Huntly"
"Anne Hastings, Countess of Shrewsbury","George Talbot, 4th Earl of Shrewsbury"
"Anne Herbert, Countess of Pembroke","William Herbert, 1st Earl of Pembroke"
"Anne Lennard, Countess of Sussex","Thomas Lennard, 1st Earl of Sussex"
"Anne Lennard, Countess of Sussex","Thomas Lennard, 1st Earl of Sussex, 15th Baron Dacre"
"Anne Marie Louise d'Orléans, Duchess of Montpensier","Antoine Nompar de Caumont, marquis de Puyguilhem, duc de Lauzun"
"Anne Marie Louise d'Orléans, Duchess of Montpensier",Antoine Nompar de Caumont
"Anne Morgan, Baroness Hunsdon","Henry Carey, 1st Baron Hunsdon"
"Anne Neville, 16th Countess of Warwick","Richard Neville, 16th Earl of Warwick"
"Anne Neville, 16th Countess of Warwick","Richard Neville, Earl of Warwick"
"Anne Seymour, Duchess of Somerset","Edward Seymour, 1st Duke of Somerset"
"Anne Seymour, Duchess of Somerset",Francis Newdigate
"Anne Smith, Lady Smith",David Alexander Smith
"Anne Somerset, Countess of Northumberland","Thomas Percy, 7th Earl of Northumberland"
"Anne de Montafié, Countess of Clermont-en-Beauvaisis","Charles, Count of Soissons"
"Anne de Montafié, Countess of Clermont-en-Beauvaisis",Charles de Bourbon
