"Abraham Bradley, Jr.",Hannah Smith
Edward of Portugal,"Eleanor of Aragon, Queen of Portugal"
Edward of Portugal,Eleanor of Aragon
Edward of the Palatinate-Simmern,Anna Gonzaga
Edward the Confessor,Edith of Wessex
Edward the Elder,", and"
Edward the Elder,Eadgifu
Edward the Elder,Eadgifu of Kent
Edward the Elder,Ecgwynn
Edwards Barham,Bennie Fay Berry Barham (born 1935)
Edwin Arlington Robinson,none
Edwin Augustus McAlpin,Anne Brandreth McAlpin
Edwin B. Tilton,Irene Grant
Edwin B. Winans,Elizabeth Galloway
Edwin Bowman,Kathy Mrvos
Edwin Catmull,Susan Anderson Catmull
Edwin D. Kilbourne,Joy Schmid Kilbourne
Edwin Denby (politician),Marion Bartlett Thurber Denby
Edwin Edwards,"(1949-1989,"
Edwin Edwards,"(1994-2004,"
Edwin Edwards,Candace Picou Edwards
Edwin Edwards,Elaine S. Edwards
Edwin Edwards,Senator Elaine Edwards
Edwin Edwards,divorce
Edwin Edwards,divorced
Edwin Field,Florence Sophia Plowright Field
Edwin G. Waite,Julia Eliza Stone
Edwin Gould I,Sarah Cantine Shrady (c1870-1951)
Edwin H. Whitehead,Janet C. Davis Whitehead
Edwin Howard Armstrong,Marion
Edwin J. Chilgren,Fronice Williams
Edwin Jackson Kyle,Alice Myers
Edwin Joseph O'Malley,"January 16, 1902"
Edwin Joseph O'Malley,1940
Edwin Joseph O'Malley,Alma Feltner (1883-1940)
Edwin L. Mechem,Dorothy Ellen
Edwin M. Stanton,Ellen Hutchison Stanton
Edwin M. Stanton,Mary Lamson Stanton
Edwin Moon,Isabel Madeline Waldron
Edwin O. Stanard,Esther Ann Kauffman Stanard
Edwin P. Morrow,Katherine Hale Waddle
Edwin Richardson,Zenobia Longino Richardson (married 1903-her death)
Edwin Samuel Montagu,(1887-1948)
Edwin Samuel Montagu,Venetia Stanley
Edwin Schlossberg,1986
Edwin Schlossberg,Caroline Kennedy
Edwin Sherin,(1975-)
Edwin Sherin,Jane Alexander
Edwin Thanhouser,Gertrude Thanhouser
Edwin Warfield,Emma Nicodemus
Edwin Wijeyeratne,Lady Leela Wijeyeratne
Edwin of Northumbria,Cwenburg
Edwina Booth,1951
Edwina Booth,1957
Edwina Booth,1959
Edwina Booth,1984
Edwina Booth,Anthony Shuck
Edwina Booth,Reinhold L. Fehlberg
Edwina Booth,Urial Leo Higham
Edy Williams,1970
Edy Williams,1975
Edy Williams,Russ Meyer
Edythe Chapman,) (his death)
Edythe Chapman,1897
Edythe Chapman,1931
Edythe Chapman,James Neill
Edzo Toxopeus,Alberta Ufkes
Eesha Narang,(2009 - Present )
Eesha Narang,Rohit (Timmy) Narang
Eesha Narang,Timmy Narang
Effie Bancroft,1868
Effie Bancroft,Squire Bancroft
Effie Neal Jones,Forest Jones (Deceased)
Efren Ramirez,(1998-1999) (annulled)
Efren Ramirez,Iyari Limon
Egbert Seymour,Marietta H. Neafie
Egon Olsen,None
Egon Vaupel,Rita Vaupel
Egon von Fürstenberg,Diane Simone Michelle Halfin
Egon von Fürstenberg,Lynn Marshall
Ehsan Jafri,Zakia Jafri
Ehud Olmert,Aliza Olmert
Eibhlin Byrne,Ken Byrne
Eiichiro Oda,Chiaki Inaba
Eijaz Khan,None
Eiji Yoshikawa,", Fumiko Ikedo"
Eiji Yoshikawa,1923
Eiji Yoshikawa,Yasu Akazawa
Eike Batista,Luma de Oliveira
Eileen Anderson,"Major Clifford F. Anderson,"
Eileen Anderson,Honolulu Police Department
Eileen Atkins,(1957-1966)
Eileen Atkins,Bill Shepherd (1978-)
Eileen Atkins,Julian Glover
Eileen Brennan,David John Lampson (1968-1974) (divorced) 2 sons
Eileen Buckholtz,Howard Buckholtz
Eileen Caddy,1939
Eileen Caddy,1953
Eileen Caddy,1957
Eileen Caddy,1978
Eileen Caddy,Andrew Combe
Eileen Caddy,Peter Caddy
Eileen Chang,(1944-1947)
Eileen Chang,Ferdinand Reyer (1956-1967)
Eileen Chang,Hu Lancheng
Eileen Chesis,1975
Eileen Chesis,Richard Devirian
Eileen Davidson,Christopher Mayer (1985 - 1986) (divorced)
Eileen Davidson,Jon Lindstrom (3 May 1997 - 2000) (divorced)
Eileen Davidson,Vincent Van Patten (15 April 2003 - present) 1 child
Eileen Flockhart,Douglas
Eileen Heckart,"John Harrison Yankee, Jr. (1942-1997)"
Eileen Melvin,Matthew
Eileen Ryan,(1958-1998)(his death)
Eileen Ryan,Leo Penn
Eileen S. Naughton,"Dr. William C. Naughton, D.D.S"
Eiliv Austlid,Dagny Landheim (born 1904)
Einar Gerhardsen,Werna Gerhardsen
Eirene Lakapena,Peter I of Bulgaria
Eirene Palaiologina,Ivan Asen III of Bulgaria
Ekaterina Klimova,(2004-present)
Ekaterina Klimova,Igor Petrenko
Ekkathat,Krom Khun Vimol Phakdi
Eknath Gaikwad,Lalita Eknath Gaikwad
El Brendel,Flo Bert (1925-1964) (his death)
Eladio M. Jala,Remedios Jala
Elaine Cancilla Orbach,(1979-2004; his death)
Elaine Cancilla Orbach,Jerry Orbach
Elaine Cassidy,31 December 2007
Elaine Cassidy,Stephen Lord
Elaine Chao,Mitch McConnell
Elaine Giftos,Herbert Wright
Elaine Giftos,Herbert Wright (producer)
Elaine Irwin Mellencamp,"John ""Cougar"" Mellencamp"
Elaine Irwin Mellencamp,(1992-present)
Elaine Irwin Mellencamp,John Mellencamp
Elaine Joyce,(1968-1980; his death)
Elaine Joyce,(1999-present)
Elaine Joyce,Bobby Van
Elaine Joyce,Neil Simon
Elaine Lorillard,Louis Lorillard
Elaine May,(1962-1963) (divorced)
Elaine May,(?-?) 1 daughter
Elaine May,Dr. David L. Rubinfine (1964-1982) Sheldon Harnick
Elaine May,Marvin May
Elaine Nekritz,Barry
Elaine S. Edwards,"(1949-1989, divorced)"
Elaine S. Edwards,Edwin Edwards
Elaine Schwartz,Martin
Elaine Sciolino,Andrew Plump
Elaine Smith (actress),Jonathon Biggins
Elaine Stewart,Bill Carter (1961&ndash;1963)
Elaine Stewart,Merrill Heatter (1963&ndash;present)
Elaine Stritch,(1973-1982)
Elaine Stritch,John Bay
Elaine Szymoniak,Casimir D. Szymoniak (Deceased)
Elaine Walker,Jay
Elana Wills,Jay Wills
Elard von Oldenburg-Januschau,1884
Elard von Oldenburg-Januschau,1937
Elard von Oldenburg-Januschau,Agnes von Kanitz
Elbert D. Thomas,1) Edna Harker (deceased)
Elbert D. Thomas,2) Ethel Evans (his death)
Elbert N. Carvel,Ann Hall Valliant
Elbridge G. Spaulding,"married twice: Antoinette Rich, Nancy Selden Strong"
Elbridge Gerry,Ann Thompson Gerry
Eldar Ryazanov,Emma Abaydullina
Eldon Woolliams,(m.&nbsp;1&nbsp;September&nbsp;1943)
Eldon Woolliams,Erva Leola Jones
Eleanor Bartlet,Victor Faison (husband)
Eleanor Beauchamp,"Edmund Beaufort, 1st Duke of Somerset"
Eleanor Beauchamp,"Thomas de Ros, 9th Baron de Ros"
Eleanor Beauchamp,Walter Rokesley
Eleanor Boardman,(his death)
Eleanor Boardman,1926
Eleanor Boardman,1931
Eleanor Boardman,1940
Eleanor Boardman,1968
Eleanor Boardman,Harry d'Abbadie d'Arrast
Eleanor Boardman,King Vidor
Eleanor Clift,"William Brooks Clift, Jr."
Eleanor Clift,Tom Brazaitis
Eleanor Cobham,"Humphrey, Duke of Gloucester"
Eleanor Holmes Norton,"Edward Norton (m. 1965, div. 1993)"
Eleanor Hoyt Brainerd,Charles Chisholm Brainerd
Eleanor Ileen Johnson,Delbert Shuman
Eleanor Kinnaird,Dan Pollit (Deceased)
Eleanor Laing,Alan Laing (div. 2002)
Eleanor Parke Custis Lewis,1767-1839
Eleanor Parke Custis Lewis,Lawrence Lewis
Eleanor Parker,Bert E. Friedlob (1946-1953) (divorced) 3 children
Eleanor Parker,Fred Losee (1943-1944) (divorced)
Eleanor Parker,Paul Clemens (1954-1965) (divorced) 1 child
Eleanor Parker,Raymond Hirsch (1966-present)
Eleanor Powell,(1943&ndash;1959)
Eleanor Powell,Glenn Ford
Eleanor Randolph,Peter Pringle
Eleanor Robson Belmont,"August Belmont, Jr."
Eleanor Roosevelt,Franklin D. Roosevelt
Eleanor Stewart,"Les Paterson, Maurice Greiner"
Eleanor Updale,James Naughtie
Eleanor de Bohun,"Thomas ''of Woodstock'', 1st Duke of Gloucester"
Eleanor de Bohun,"Thomas of Woodstock, 1st Duke of Gloucester"
Eleanor de Braose,Humphrey de Bohun
Eleanor de Clare,Hugh le Despenser the Younger
Eleanor de Clare,William de la Zouche
Eleanor of Alburquerque,Ferdinand I of Aragon
Eleanor of Aquitaine,"Henry II, King of England"
Eleanor of Aquitaine,"Louis VII, King of the Franks"
Eleanor of Aquitaine,Henry II of England
Eleanor of Aquitaine,Louis VII of France
Eleanor of Aquitaine,m. 1137; ann. 1152
Eleanor of Aquitaine,m. 1152; wid. 1189
Eleanor of Austria,Francis I of France
Eleanor of Austria,Manuel I of Portugal
Eleanor of Castile (died 1244),James I of Aragon
Eleanor of Castile,Edward I of England
Eleanor of Guzman,"Juana, 1st Lady of follar Trastamara"
Eleanor of Guzman,Juan de Velasco
Eleanor of Lancaster,"John de Beaumont, 2nd Lord Beaumont"
Eleanor of Lancaster,"Richard FitzAlan, 10th Earl of Arundel"
Eleanor of Lancaster,m. 1330; dec. 1342
Eleanor of Lancaster,m. 1344; wid. 1372
Eleanor of Leicester,"Simon de Montfort, 6th Earl of Leicester"
Eleanor of Leicester,"William Marshal, 2nd Earl of Pembroke"
Eleanor of Leicester,m. 1224; dec. 1231
Eleanor of Leicester,m. 1238; dec. 1265
Eleanor of Navarre,"Gaston IV, Count of Foix"
Eleanor of Provence,Henry III ''of Winchester''
Eleanor of Provence,Henry III of England
Eleanor of Scotland,"Sigismund, Archduke of Austria"
Eleanor of Sicily,Peter IV of Aragon
Eleanor of Toledo,Cosimo I de' Medici
Eleanor of Viseu,John II
Eleanor of Viseu,John II of Portugal
Eleanor of Woodstock,"Reginald II ''the Black'', Count of Guelders"
Eleanor of Woodstock,Reinoud II of Guelders
Eleanor of Woodstock,m. 1332; dec. 1343
Eleazar López Contreras,Luisa Elena Mijares
Electoral history of Creigh Deeds,Pam Deeds
Eleftherios Venizelos,Elena Skylitsi (1921-1936)
Eleftherios Venizelos,Maria Katelouzou (1891-1894)
Elem Klimov,Larisa Shepitko
Elena Alistar,Dumitru Alistar
Elena Delgado,Carlos Aguilar (ex-boyfriend/father of Sofia)
Elena Delgado,Danny Taylor (husband)
Elena Glinskaya,Vasili III of Russia
Elena Michaels,Clayton Danvers
Elena Poniatowska,Guillermo Haro (deceased)
Elena of Montenegro,Victor Emmanuel III of Italy
Elena-Cristina Marchisano,(2008-)
Elena-Cristina Marchisano,Matteo Marchisano-Adamo
Eleni Andros Cooper,(divorced; 1991-1993)
Eleni Andros Cooper,(divorced; 1993-2001)
Eleni Andros Cooper,Alan-Michael Spaulding
Eleni Andros Cooper,Frank Cooper Jr.
Eleni Menegaki,-2010)
Eleni Menegaki,2001
Eleni Menegaki,Ioannis Latsios (
Eleni Radou,Vasilis Papakonstantinou
Eleni Theocharous,Louis Kariolou
Elenita Binay,Jejomar C. Binay
Eleonor Magdalene of the Palatinate-Neuburg,"Leopold I, Holy Roman Emperor"
Eleonora de' Medici,Vincenzo I Gonzaga
Eleonore Reuss of Köstritz,Ferdinand I of Bulgaria
Eleuthère Irénée du Pont,Sophie Madeleine Dalmas
Elfriede Geiringer,(1953-1980. his death)
Elfriede Geiringer,Erich Geiringer (unknown-his death)
Elfriede Geiringer,Otto Frank
Elgen Long,Marie K. Long
Eli Cook,married twice
Eli El-Chantiry,Maha
Eli Houston Murray,Evelyn Neal
Eli Metcalfe Bruce,2007-06-19
Eli Metcalfe Bruce,Elizabeth Sally Withers
Eli Metcalfe Bruce,Guide to the Bruce Family Papers
Eli Metcalfe Bruce,Northern Kentucky University
Eli Metcalfe Bruce,http://library.nku.edu/fa/brucefa.html
Eli P. Ashmun,"Antiquities, Historicals and Graduates of Northampton"
Eli P. Ashmun,"Northampton, MA."
Eli P. Ashmun,1882
Eli P. Ashmun,277.
Eli P. Ashmun,Clark
Eli P. Ashmun,Lucy Hooker
Eli P. Ashmun,Solomon
Eli P. Ashmun,Solomon Clark
Eli Todd,Rachel Hills
Eli Wallach,(1948&ndash;present)
Eli Wallach,Anne Jackson
Elia Kazan,Barbara Loden
Elia Kazan,Molly Day Thatcher
Elias Bond,Ellen Mariner Howell
Elias Disney,(m. 1888 - 1938; her death)
Elias Disney,Flora Call
Elias Disney,Flora Call Disney
Elias George Conklin,Janet Scott (m. 1873)
Elias Hasket Derby,Elizabeth Crowninshield
Elias Howe,Elizabeth Jennings Ames (m. 1841; d. 1850)
Elias Howe,Rose Halladay (d. 1890)
Elias P. Seeley,Jane E. Champney
Elias Slothower,Susanna
Elihu B. Hayes,"Amy A. Farnum, m. 1873."
Elihu B. Hayes,"Boston, MA"
Elihu B. Hayes,"Massachusetts of Today: A Memorial of the State, Historical and Biographical"
Elihu B. Hayes,1892
Elihu B. Hayes,540.
Elihu B. Hayes,Columbia Publishing Company
Elihu B. Hayes,Daniel P.
Elihu B. Hayes,Toomey
Elihu B. Washburne,Adele Gratiot
Elihu Doty,Clarissa D. Ackley
Elihu Doty,Eleanor Augusta Smith Doty
Elihu Emory Jackson,Nannie Rider
Elihu Root,Clara Frances Wales
Elijah Coleman Bridgman,Eliza Jane Bridgeman
Elijah Coleman Bridgman,Gillett)
Elijah Cummings,Dr. Maya Rockeymoore-Cummings
Elijah Gates,Maria Stamper
Elijah McCoy,Ann Elizabeth Stewart; Mary Eleanor Delaney
Elijah Muhammad,Clara Muhammad
Elin Nordegren,2004
Elin Nordegren,Tiger Woods
Elina Fuhrman,Nick Fuhrman (1991-present)
Elinor Caplan,Wilfred Caplan
Elinor Donahue,Harry Ackerman (1962-1991) (his death) 3 children
Elinor Donahue,Lou Genevrino (1992-present)
Elinor Donahue,Richard Smith (1955-1961) (divorced) 1 child
Elinor Glyn,Clayton Louis Glyn
Eliot Cutler,Melanie Cutler
Eliot Engel,Patricia Ennis
Eliot Glassheim,Dyan Rey
Eliot Hodgkin,Mimi Hodgkin
Eliot Spitzer,Silda Wall Spitzer
Eliphalet Trask,Ruby Squier
Elis Sella,Seela Sella
Elisa Bonaparte,Felice Pasquale Baciocchi
Elisa Gabrielli,Floyd Gabrielli
Elisabeth Bennington,Brad Korinski
Elisabeth Christine of Brunswick-Bevern,Frederick II of Prussia
Elisabeth Christine of Brunswick-Wolfenbüttel,"Charles VI, Holy Roman Emperor"
Elisabeth Delatour Préval,(2009-Present)
Elisabeth Delatour Préval,(?-2001;
Elisabeth Delatour Préval,Leslie Delatour
Elisabeth Delatour Préval,Rene Preval
Elisabeth Delatour Préval,his death
Elisabeth Dorothea of Saxe-Gotha-Altenburg,"Louis VI, Landgrave of Hesse-Darmstadt"
Elisabeth Elliot,"(Oct 8, 1927 &ndash; Jan 8, 1956)"
Elisabeth Elliot,(1969 &ndash; 73)
Elisabeth Elliot,(1977 &ndash; present)
Elisabeth Elliot,Addison Leitch
Elisabeth Elliot,Jim Elliot
Elisabeth Elliot,Lars Gren
Elisabeth Farnese,Philip V of Spain
Elisabeth Forsselius,Johan Jacob Fahlgren
Elisabeth Forsselius,Johann Christian Friedrich Haeffner
Elisabeth Forsselius,and
Elisabeth Fraser,Charles K. Peck Jr. (?-?) (divorced)
Elisabeth Fraser,[Ray McDonald (1944-1952) (divorced) 3 children
Elisabeth Harnois,(?-present)
Elisabeth Hasselbeck,Tim Hasselbeck
Elisabeth Helene von Vieregg,(by bigamy)
Elisabeth Helene von Vieregg,Frederick IV of Denmark
Elisabeth Ludovika of Bavaria,Frederick William IV of Prussia
Elisabeth Moss,(2009-present)
Elisabeth Moss,Fred Armisen
Elisabeth Pepys,Samuel Pepys
Elisabeth Richeza of Poland,Rudolph I of Bohemia
Elisabeth Richeza of Poland,Wenceslaus II of Bohemia
Elisabeth Risdon,(? - ?)
Elisabeth Risdon,Brandon Evans (? - ?)
Elisabeth Risdon,George Loane Tucker
Elisabeth Röhm,Ron Wooster
Elisabeth Shue,(1994-present)
Elisabeth Shue,Davis Guggenheim
Elisabeth Sladen,(1968-present)
Elisabeth Sladen,Brian Miller
Elisabeth Therese of Lorraine,Charles Emmanuel III of Sardinia
Elisabeth Turhapuro,Uuno Turhapuro
Elisabeth of Austria (1436–1505),Casimir IV of Poland
Elisabeth of Austria (1526–1545),Sigismund II Augustus
Elisabeth of Austria (1554–1592),Charles IX of France
Elisabeth of Austria (d.1353),"Frederick IV, Duke of Lorraine"
Elisabeth of Bavaria (1227–1273),"Meinhard, Duke of Carinthia"
Elisabeth of Bavaria (1227–1273),Conrad IV of Germany
Elisabeth of Bavaria (1876–1965),Albert I of Belgium
Elisabeth of Bavaria,Francis Joseph I of Austria
Elisabeth of Bohemia (1292–1330),John of Luxembourg
Elisabeth of France (1602–1644),Philip IV of Spain
Elisabeth of Gorizia-Tyrol,Albert I of Germany
Elisabeth of Hungary (1128–1154),Mieszko III the Old
Elisabeth of Meissen,"Frederick V, Burgrave of Nuremberg"
Elisabeth of Nuremberg,", Elector Palatine of the Rhine, King of the Romans"
Elisabeth of Nuremberg,Rupert of Germany
Elisabeth of Romania,George II of Greece
Elisabeth of Valois,Philip II of Spain
Elisabeth of Wied,Carol I of Romania
Elisabeth von Lahnstein,"(legally annulled, 2007-2008; deceased)"
Elisabeth von Lahnstein,(divorced)
Elisabeth von Lahnstein,(widowed; deceased)
Elisabeth von Lahnstein,Arno Brandner
Elisabeth von Lahnstein,Johannes von Lahnstein
Elisabeth von Lahnstein,Unnamed Ryan
Elisabeth-Anne de Massy,Bernard Alexandre Taubert-Natta (m.1974)
Elisabeth-Anne de Massy,Nicolai Vladimir Costello (m.1984)
Elisabetta Gregoraci,(2008 - present)
Elisabetta Gregoraci,Flavio Briatore
Elisabetta Visconti,"Ernest, Duke of Bavaria"
Elise Hwasser,Daniel Hwasser
Eliseo Payán,Carmen Ospina Lenis
Elisha Capen Monk,Salley B. French
Elisha Hunt Allen,Mary Harrod Hobbs
Elisha Hunt Allen,Sarah Elizabeth Fessenden
Elisha Standiford,Lorena Scott
Elisha Standiford,Mary A. E. Neill (?-1875)
Elisha Warfield,Maria Barr (1785-1866)
Elisiv of Kiev,Harald III of Norway
Elivera M. Doud,John Sheldon Doud
Eliyahu Essas,Anya
Eliyahu Koren,Channa Neuwirth
Eliza Courtney,Lt. Col. Robert Ellice
Eliza Hendricks,Thomas A. Hendricks
Eliza Lynch,(unmarried) (1854 - 1870)
Eliza Lynch,Xavier Quatrefages
Eliza McCardle Johnson,Andrew Johnson
Eliza Orzeszkowa,Piotr Orzeszko
Elizabeth Alexeievna (Louise of Baden),Alexander I of Russia
Elizabeth Allan (actress),(his death)
Elizabeth Allan (actress),1932
Elizabeth Allan (actress),1977
Elizabeth Allan (actress),Wilfred J. O Bryen
Elizabeth Allen (actress),(divorced)
Elizabeth Allen (actress),1952
Elizabeth Allen (actress),1955
Elizabeth Allen (actress),Baron Karl von Vietinghoff-Scheel
Elizabeth Ames Jones,"William C. Jones, IV"
Elizabeth Ann Doody Gorman,Gerald
Elizabeth Ashley,(divorced)
Elizabeth Ashley,(divorced) 1 child
Elizabeth Ashley,1962
Elizabeth Ashley,1965
Elizabeth Ashley,1966
Elizabeth Ashley,1972
Elizabeth Ashley,1975
Elizabeth Ashley,1981
Elizabeth Ashley,George Peppard
Elizabeth Ashley,James Farentino
Elizabeth Ashley,James McCarthy
Elizabeth Avellan,(1990 - 2006)
Elizabeth Avellan,Robert Rodriguez
Elizabeth B. Andrews,George W. Andrews
Elizabeth Banks,2003
Elizabeth Banks,Max Handelman
Elizabeth Bartlet,Doug Westin (husband)
Elizabeth Bellamy,"List of Upstairs, Downstairs characters#Lawrence Kirbridge"
Elizabeth Bellamy,Dana Wallace
Elizabeth Bellamy,Lawrence Kirbridge
Elizabeth Berkley,Greg Lauren
Elizabeth Bogush,(2005 - present)
Elizabeth Bogush,Lukas Reiter
Elizabeth Bogush,Neil Shapiro (2000 - 2002; divorced)
Elizabeth Bolden,Lewis Bolden
Elizabeth Bowes-Lyon,George VI
Elizabeth Bowes-Lyon,George VI of the United Kingdom
Elizabeth Bracco,"(September 1, 1987-present); 2 children"
Elizabeth Bracco,Aidan Quinn
Elizabeth Brater,Enoch Brater
Elizabeth Cady Stanton,Henry Brewster Stanton
Elizabeth Canning,John Treat
Elizabeth Charlotte of the Palatinate,Philippe de France
Elizabeth Cheney (1422–1473),Elizabeth Tilney
Elizabeth Cheney (1422–1473),Sir Frederick Tilney (one child;
Elizabeth Cheney (1422–1473),Sir John Say (8 children; see below)
Elizabeth Cheney,Philip Perry
Elizabeth Collins Stoddard,(1947 - Winter 1970; widowed)
Elizabeth Collins Stoddard,Paul Stoddard
Elizabeth Corday,(deceased)
Elizabeth Corday,Mark Greene
Elizabeth Coulson,William
Elizabeth Crocker Bowers,"-David P. Bowers (1847&ndash;1857, his death)"
Elizabeth Crocker Bowers,"-Dr. Brown (circa 1860&ndash;1867, his death)"
Elizabeth Crocker Bowers,-J. C. McCollom
Elizabeth Cromwell,Lord Protector
Elizabeth Cromwell,Oliver Cromwell
Elizabeth Cromwell,of England
Elizabeth Daily,Rick Salomon
Elizabeth Dennehy,James Lancaster
Elizabeth Dole,Bob Dole
Elizabeth Edwards,2010-01-27
Elizabeth Edwards,2010-05-01
Elizabeth Edwards,Elizabeth Edwards says she's separated from John
Elizabeth Edwards,John Edwards
Elizabeth Edwards,USA Today
Elizabeth Edwards,http://content.usatoday.com/communities/ondeadline/post/2010/01/elizabeth-edwards-says-shes-separated-from-john/1
Elizabeth Emken,Craig Swartz
Elizabeth Evelyn Wright,Martin A. Menafee
Elizabeth F. Ellet,William Henry Ellet
Elizabeth Farren,"Edward Smith-Stanley, 12th Earl of Derby"
Elizabeth Farren,(1752&ndash;1834)
Elizabeth Fones,Henry Winthrop
Elizabeth Fones,Lt. Robert Feake
Elizabeth Fones,William Hallet
Elizabeth Franz,(?-1990) (his death)
Elizabeth Franz,Edward Binns
Elizabeth Furse,John C. Platt
Elizabeth G. Robinson,John Robinson
Elizabeth Gallagher,Paul Aloysius Gallagher
Elizabeth Gaskell,William Gaskell
Elizabeth George Speare,Alden Speare
Elizabeth Glaser,Paul Michael Glaser
Elizabeth Gray Vining,Morgan Fisher Vining
Elizabeth H. Roberts,Thomas Roberts
Elizabeth Hanson,Doug Mowat
Elizabeth Hernandez,Charles Hernandez
Elizabeth Holloway Marston,William Moulton Marston
Elizabeth Howe,James Howe
Elizabeth Hurley,Arun Nayar (2007-present)
Elizabeth II,"Prince Philip, Duke of Edinburgh"
Elizabeth Jolley,Leonard Jolley
Elizabeth Kahanu Kalaniana'ole,James Frank Woods
Elizabeth Kahanu Kalaniana'ole,ole
Elizabeth Keifer,Brett Porter (1986-1988)
Elizabeth Keifer,Robert Convertino (1996-present) 2 Children
Elizabeth Kekaaniau,Franklin Seaver Pratt
Elizabeth Kucinich,2005
Elizabeth Kucinich,Dennis Kucinich
Elizabeth MacRae,Charles Halsey
Elizabeth Marshall,Stan Marshall
Elizabeth Martha Brown,''Dorset Echo'' 2000.
Elizabeth Martha Brown,Bernard Bearn (1831&ndash;c. 1851); John Brown (1852&ndash;1856)
Elizabeth McCombs,(married
Elizabeth McCombs,1903
Elizabeth McCombs,James McCombs
Elizabeth Melendez,Josh Keaton
Elizabeth Mitchell,(1 child)
Elizabeth Mitchell,Chris Soldevilla (2004-present)
Elizabeth Monroe,James Monroe
Elizabeth Montgomery,1954
Elizabeth Montgomery,1955
Elizabeth Montgomery,1956
Elizabeth Montgomery,1963
Elizabeth Montgomery,1973
Elizabeth Montgomery,1993
Elizabeth Montgomery,1995
Elizabeth Montgomery,Frederick Gallatin Cammann
Elizabeth Montgomery,Gig Young
Elizabeth Montgomery,Robert Foxworth
Elizabeth Montgomery,William Asher
Elizabeth Moon,Richard Sloan Moon (1969-present)
Elizabeth Omilami,Afemo Omilami
Elizabeth Parke Firestone,"Harvey S. Firestone, Jr."
Elizabeth Parr-Johnston,Archibald F. Johnston 1982-Present
Elizabeth Peke,Antone Sylva?
Elizabeth Peke,George Prince Kaumuali
Elizabeth Peke,Humehume
Elizabeth Peke,i Humehume
Elizabeth Perkins,Terry Kinney
Elizabeth Peña,(1988)
Elizabeth Peña,(1994-present)
Elizabeth Peña,2 children
Elizabeth Peña,Hans Rolla
Elizabeth Peña,William Kibler
Elizabeth Post,"Lt. George Eustis Cookman, USN (1941&ndash;1943)"
Elizabeth Post,William Goadby Post (1944&ndash;2010)
Elizabeth Robins,(1885-1887)
Elizabeth Robins,George Richmond Parks
Elizabeth Schuyler Hamilton,(1780-1804)
Elizabeth Schuyler Hamilton,Alexander Hamilton
Elizabeth Seal,Michael Ward (1976-present)
Elizabeth Selden Rogers,(1865-1939)
Elizabeth Selden Rogers,1895
Elizabeth Selden Rogers,John Rogers
Elizabeth Siddal,Dante Gabriel Rossetti
Elizabeth Sorrell,Norman W.A. Sorrell (died 1944)
Elizabeth Streb,Laura Flanders
Elizabeth Stuckey-French,Ned Stuckey-French
Elizabeth Taylor,Conrad Hilton Jr.
Elizabeth Taylor,Eddie Fisher
Elizabeth Taylor,Eddie Fisher (singer)
Elizabeth Taylor,John Warner
Elizabeth Taylor,Larry Fortensky
Elizabeth Taylor,Michael Wilding
Elizabeth Taylor,Michael Wilding (actor)
Elizabeth Taylor,Mike Todd
Elizabeth Taylor,Richard Burton
Elizabeth Topham Kennan,Michael Burns
Elizabeth Topham Kennan,Michael Burns (historian)
Elizabeth Trewinnard,Sir John Killigrew
Elizabeth Truss,Hugh O'Leary
Elizabeth Tylden,George Morgan
Elizabeth Van Valkenburgh,John Van Valkenburgh
Elizabeth Vargas,(2002-present) 2 children
Elizabeth Vargas,Marc Cohn
Elizabeth Warden,not known.
Elizabeth Watkin-Jones,John Watkin Jones
Elizabeth Webber,"Richard ""Ric"" Lansig"
Elizabeth Webber,"Richard ""Ric"" Lansing"
Elizabeth Webber,(divorced; first time) [2003-2004]
Elizabeth Webber,(divorced; first time) [2005-2007]
Elizabeth Webber,(divorced; secod time) [2007]
Elizabeth Webber,(divorced; second time) [2004]
Elizabeth Webber,Lucky Spencer
Elizabeth Webber,Ric Lansing
Elizabeth Wharton Drexel,"John Graham Hope de la Poer Beresford, 5th Baron Decies"
Elizabeth Wharton Drexel,Henry Symes Lehr
Elizabeth Whitmere,Terry McGurrin
Elizabeth Woodville,Edward IV of England
Elizabeth Woodville,John Grey of Groby
Elizabeth Woodville,Sir John Grey
Elizabeth Woodville,m. 1464; dec. 1483
Elizabeth Woodville,m. c. 1452; dec. 1461
Elizabeth Woolcock,Thomas Woolcock
Elizabeth Yates (author),William McGreal
Elizabeth de Burgh,Robert I of Scotland
Elizabeth de Clare,John de Burgh
Elizabeth de Clare,Roger D'Amory
Elizabeth de Clare,Theobald II de Verdun
Elizabeth le Despenser,"John Fitzalan, 2nd Baron Arundel"
Elizabeth le Despenser,"William la Zouche, 3rd Baron Zouche"
Elizabeth of Bohemia,"Frederick V, Elector Palatine"
Elizabeth of Bosnia,Louis I of Hungary
Elizabeth of Kuyavia,"Stephen II, Ban of Bosnia"
Elizabeth of Luxembourg,Albert II of Germany
Elizabeth of Pomerania,"Charles IV, Holy Roman Emperor"
Elizabeth of Rhuddlan,"Humphrey de Bohun, 4th Earl of Hereford"
Elizabeth of Rhuddlan,"John I, Count of Holland"
Elizabeth of Rhuddlan,m. 1297; dec. 1299
Elizabeth of Rhuddlan,m. 1302; wid. 1316
Elizabeth of Russia,Alexey Razumovsky
Elizabeth of Serbia,"Stephen I, Ban of Bosnia"
